No.,command,jpname,aname,format,example,description,document,
1,LED,エル・イー・ディー,,LED 数,LED 1,数が1ならLEDが光り、0なら消える,https://ichigojam.github.io/print/ja/LED.html,
2,WAIT,ウェイト,,"WAIT 数1{,数2}",WAIT 60,数1の数だけ待つ（60で１秒）。マイナスの数を指定すると走査線分で待つ(-261でWAIT1と同じ時間)。省略できる数2に0を指定すると画面表示を止め低電力化して待つ。,https://ichigojam.github.io/print/ja/WAIT.html,
3,:,コロン,,:,WAIT 60:LED 1,コマンドを後ろに続けて書くときの区切り記号,,
4,1,ワン,,行番号 {コマンド},10 LED1,1. 数は-32768から32767まで表記できる。 2. 行頭の1〜32767で指定された数は行番号として、コマンドと合わせて記録する。コマンドを省略するとその行を削除（16385以上は指定しないと表示しない）,,
5,RUN,ラン,,RUN,RUN,プログラムを実行する [F5],https://ichigojam.github.io/print/ja/RUN-LIST.html,
6,LIST,リスト,,"LIST {行番号1{,行番号2}}","LIST 10,300",プログラムを表示する [F4] （行番号1で1行表示、行番号1がマイナスでその行まで表示、行番号2指定でその行まで表示、行番号2が0の時終わりまで表示、ESCで途中停止）,https://ichigojam.github.io/print/ja/RUN-LIST.html,
7,GOTO,ゴートゥー,,GOTO 行番号,GOTO 10,指定した行番号へ飛ぶ（式も指定可能）,https://ichigojam.github.io/print/ja/GOTO.html,
8,END,エンド,,END,END,プログラムを終了する,,
9,IF,イフ,,IF 数 {THEN} コマンド1 {ELSE コマンド2},IF BTN() END,"数が0でなければコマンド1を実行し、0であればコマンド2を実行する（THEN,ELSE以降は省略可、ただし16進数後は:で区切る必要あり）",https://ichigojam.github.io/print/ja/IF.html,
10,THEN,ゼン,,IF 数 {THEN} コマンド1 {ELSE コマンド2},IF BTN() THEN END,"数が0でなければコマンド1を実行し、0であればコマンド2を実行する（THEN,ELSE以降は省略可、ただし16進数後は:で区切る必要あり）",,
11,ELSE,エルス,,IF 数 {THEN} コマンド1 {ELSE コマンド2},IF BTN() END ELSE CONT,"数が0でなければコマンド1を実行し、0であればコマンド2を実行する （THEN,ELSE以降は省略可、ただし16進数後は:で区切る必要あり）",,
12,BTN,ボタン,,BTN({数}),LED BTN(),ボタンが押されていれば1、そうでないとき0を返す（数：0(付属ボタン)/UP/DOWN/RIGHT/LEFT/SPACE/X(88)、省略で0、-1でビットパターンで返す）,https://ichigojam.github.io/print/ja/BTN.html,
13,NEW,ニュー,,NEW,NEW,プログラムを全部消す,https://ichigojam.github.io/print/ja/SAVE-LOAD-NEW.html,
14,PRINT,プリント,?,PRINT {数や文字列},"PRINT ""HI!"";15","数や文字列を表示する （文字列は""で囲む、"";"" で連結できる）",https://ichigojam.github.io/print/ja/PRINT.html,
15,?,クエスション,PRINT,? {数や文字列},"?""HI!"";15","数や文字列を表示する （文字列は""で囲む、"";"" で連結できる）",https://ichigojam.github.io/print/ja/PRINT.html,
16,LOCATE,ロケート,LC,"LOCATE 数1{,数2{,数3}}","LOCATE 3,3","次に文字を書く位置を横、縦の順に指定する（左上が0,0、縦=-1で無表示）。数1のみでX+Y*幅。数3が0でなければ指定した場所にカーソルを表示する。",https://ichigojam.github.io/print/ja/LOCATE.html,
17,LC,ロケート,LOCATE,"LC 数1{,数2{,数3}}","LC 3,3","次に文字を書く位置を横、縦の順に指定する（左上が0,0、縦=-1で無表示）。数1のみでX+Y*幅。数3が0でなければ指定した場所にカーソルを表示する。",https://ichigojam.github.io/print/ja/LOCATE.html,
18,CLS,クリア・スクリーン,,CLS,CLS,画面を全部消す,,
19,RND,ランダム,,RND(数),PRINT RND(6),0から数未満のでたらめな整数を返す,https://ichigojam.github.io/print/ja/RND.html,
20,SAVE,セーブ,,SAVE {数},SAVE 1,プログラムを保存する（0〜3の4つ、100-227 外付けEEPROM、省略で前回使用した数） ボタンを押した状態で起動すると0番を読み込み自動実行,https://ichigojam.github.io/print/ja/SAVE-LOAD-NEW.html,
21,LOAD,ロード,,LOAD {数},LOAD,プログラムを読み出す（0〜3の4つ、100-227 外付けEEPROM、省略で前回使用した数）,https://ichigojam.github.io/print/ja/SAVE-LOAD-NEW.html,
22,FILES,ファイルズ,,"FILES {数1{,数2}}",FILES,数1(省略可)〜数2のプログラム一覧を表示する（EEPROM内ファイル表示に対応、0指定ですべて表示、ESCで途中停止）,,
23,BEEP,ビープ,,"BEEP {数1{,数2}}",BEEP,単音を鳴らす 周期(0-32767)と長さ(1/60秒単位)は省略可 ※SOUND(EX2)-GNDに圧電サウンダーなどの接続が必要,https://ichigojam.github.io/print/ja/BEEP.html,
24,PLAY,プレイ,,"PLAY {""MML""}","PLAY ""$CDE2CDE2""",MML、記述した音楽を鳴らす。省略で音停止 ※SOUND(EX2)-GNDに圧電サウンダーなどの接続が必要 （MML、CDEFGAB：ドレミファソラシ、R：休符、.：音や休符を1.5倍伸ばす、T120：テンポ、O4：オクターブ(1-6)、N10：単音、<：オクターブ上げる、>：オクターブ下げる、$：繰り返し、'：以後鳴らさない）,https://ichigojam.github.io/print/ja/PLAY.html,
25,TEMPO,テンポ,,TEMPO 数,TEMPO 1200,再生中の音楽のテンポを変更する,,
26,+,プラス,,数 + 数,PRINT 1+1,足し算する,,
27,-,マイナス,,数 - 数,PRINT 2-1,1. 引き算する 2. 後に続く数をマイナスにする,,
28,*,アスタリスク,,数 * 数,PRINT 7*8,掛け算する,,
29,/,スラッシュ,,数 / 数,PRINT 9/3,割り算する（小数点以下は切り捨て）,,
30,%,パーセント,,数 % 数,PRINT 10%3,割り算した余りを返す,,
31,(),ブラケット,,(式),PRINT 1+(1*2),カッコ内の式を優先して計算する,,
32,LET,レット,=,"LET 変数,数","LET A,1","数をアルファベット１文字の変数や配列の値として記憶する（配列へ連続代入可能 LET[0],1,2）",https://ichigojam.github.io/print/ja/LET.html,
33,=,イコール,LET,変数=数,A=1,1. 数をアルファベット１文字の変数や配列の値として記憶する。 2. 式として使うと==と同じ機能となる,https://ichigojam.github.io/print/ja/LET.html,
34,INPUT,インプット,,"INPUT {文字列,}変数","INPUT ""ANS?"",A",キーボードやUARTからの入力で数値を変数にいれる（文字列とコンマは省略可）,https://ichigojam.github.io/print/ja/INPUT.html,
35,TICK,ティック,,TICK({数}),PRINT TICK(),CLTからの時間を返す（1/60秒で1進む） *数に1指定で1/(60*261)秒で1進む時間,https://ichigojam.github.io/print/ja/TICK.html,
36,CLT,クリア・ティック,,CLT,CLT,TICK()のカウントをリセットする,https://ichigojam.github.io/print/ja/TICK.html,
37,INKEY,インキー,,INKEY(),PRINT INKEY(),キーボードやUARTから１文字入力する（入力がない時は0、UARTから0が入力された時は#100）,,
38,LEFT,レフト,,LEFT,IF INKEY()=LEFT LED1,28を返す。INKEYのキーコードの判定や、SCROLLに使う,,
39,RIGHT,ライト,,RIGHT,IF INKEY()=RIGHT LED1,29を返す。INKEYのキーコードの判定や、SCROLLに使う,,
40,UP,アップ,,UP,IF INKEY()=UP LED1,30を返す。INKEYのキーコードの判定や、SCROLLに使う,,
41,DOWN,ダウン,,DOWN,IF INKEY()=DOWN LED1,31を返す。INKEYのキーコードの判定や、SCROLLに使う,,
42,SPACE,スペース,,SPACE,IF INKEY()=SPACE LED1,32を返す。INKEYのキーコードの判定や、SCROLLに使う,,
43,CHR,キャラクター,,"CHR$(数{,数2{,数3…}})",PRINT CHR$(65),PRINT内で、文字コードに対応する文字を返す（コンマ区切りで連続表記可）,,https://ichigojam.github.io/print/ja/CHR.html
44,ASC,アスキー,,"ASC(""文字"")","PRINT ASC(""A"")",文字に対する文字コードを返す,,https://ichigojam.github.io/print/ja/CHR.html
